type,name,gu,dong,lat,lng,address
지역근린공원,은행정어린이공원,양천구,신정동,37.52208579,126.8550676,서울특별시 양천구 신정동 은행정로7길
지역근린공원,친수공원,동작구,사당동,37.47697326,126.9804834,서울특별시 동작구 사당동 
지역근린공원,행당4구역공원,성동구,행당동,37.55557348,127.032071,서울특별시 성동구 행당동 행당로6길
지역근린공원,고무래공원,서초구,반포동,37.50356924,127.0154232,서울특별시 서초구 반포동 
지역근린공원,모태공원,강서구,화곡동,37.52953406,126.8494429,서울특별시 강서구 화곡동 
지역근린공원,근린공원,서대문구,홍은동,37.58237293,126.9241497,서울특별시 서대문구 홍은동 명지대길
지역근린공원,홍씨마을공원,서초구,내곡동,37.45305024,127.065681,서울특별시 서초구 내곡동 
지역근린공원,달터공원,강남구,개포동,37.48030851,127.0500965,서울특별시 강남구 개포동 개포로
지역근린공원,일원새싹공원,강남구,수서동,37.4847598,127.0890391,서울특별시 강남구 수서동 
지역근린공원,서광공원,관악구,신림동,37.47519324,126.9425463,서울특별시 관악구 신림동 
지역근린공원,낙산공원,종로구,동숭동,37.5803132,127.0070802,서울특별시 종로구 동숭동 낙산길
지역근린공원,독산근린공원,금천구,독산동,37.46389192,126.8839535,서울특별시 금천구 독산동 범안로
지역근린공원,장일어린이공원,동대문구,장안동,37.5699219,127.0651491,서울특별시 동대문구 장안동 
지역근린공원,느티울근린공원,노원구,상계동,37.64916904,127.0573362,서울특별시 노원구 상계동 
지역근린공원,근린공원,노원구,상계동,37.6688871,127.0771616,서울특별시 노원구 상계동 상계로
대형시민/도심공원,삼청공원,종로구,삼청동,37.58964681,126.9850613,서울특별시 종로구 삼청동 와룡공원길
지역근린공원,잠실유수지공원,송파구,잠실동,37.50303823,127.0794321,서울특별시 송파구 잠실동 도곡로62길
지역근린공원,월계근린공원,노원구,월계동,37.62547767,127.0580224,서울특별시 노원구 월계동 
지역근린공원,창2동마을공원,도봉구,창동,37.64119647,127.0362043,서울특별시 도봉구 창동 덕릉로59길
지역근린공원,청운공원,종로구,청운동,37.59086199,126.9665694,서울특별시 종로구 청운동 
지역근린공원,보람어린이공원,강동구,성내동,37.5248883,127.1313852,서울특별시 강동구 성내동 양재대로85길
지역근린공원,양화진성지공원,마포구,합정동,37.54554568,126.9111559,서울특별시 마포구 합정동 토정로
지역근린공원,호순이어린이공원,송파구,문정동,37.4898674,127.1171119,서울특별시 송파구 문정동 중대로
지역근린공원,행복어린이공원,강남구,세곡동,37.46725094,127.0970622,서울특별시 강남구 세곡동 
지역근린공원,방화공원,강서구,방화동,37.5809323,126.8141207,서울특별시 강서구 방화동 금낭화로
지역근린공원,무학봉공원,성동구,하왕십리동,37.56156622,127.0257066,서울특별시 성동구 하왕십리동 난계로
지역근린공원,별장길공원,금천구,시흥동,37.44813678,126.9085658,서울특별시 금천구 시흥동 
지역근린공원,신트리공원,양천구,신정동,37.51456316,126.8562786,서울특별시 양천구 신정동 목동동로
지역근린공원,새말어린이공원,송파구,가락동,37.49463188,127.1255939,서울특별시 송파구 가락동 송이로23길
지역근린공원,철쭉공원,금천구,독산동,37.45307137,126.8899462,서울특별시 금천구 독산동 금하로1마길
지역근린공원,천호공원,강동구,천호동,37.5443836,127.1264089,서울특별시 강동구 천호동 올림픽로
지역근린공원,까치산근린공원,동작구,사당동,37.47917651,126.9675973,서울특별시 동작구 사당동 사당로16라길
지역근린공원,옛동산어린이공원,송파구,방이동,37.50956284,127.1158514,서울특별시 송파구 방이동 
지역근린공원,한우물공원,강동구,고덕동,37.5614062,127.1625657,서울특별시 강동구 고덕동 아리수로72길
지역근린공원,서달산자연공원,동작구,상도동,37.50307889,126.9551808,서울특별시 동작구 상도동 
지역근린공원,두레어린이공원,강서구,화곡동,37.53126011,126.85933,서울특별시 강서구 화곡동 강서로8길
지역근린공원,정말공원,광진구,자양동,37.53324836,127.0783361,서울특별시 광진구 자양동 자양로13다길
지역근린공원,반수공원,금천구,독산동,37.47405974,126.9022657,서울특별시 금천구 독산동 독산로93길
지역근린공원,황학공원,중구,황학동,37.5677169,127.0182198,서울특별시 중구 황학동 다산로48길
지역근린공원,매봉공원,성동구,옥수동,37.54677533,127.0132372,서울특별시 성동구 옥수동 매봉길
지역근린공원,도선공원,성동구,홍익동,37.56550346,127.0314774,서울특별시 성동구 홍익동 무학로8길
지역근린공원,은하수공원,강동구,명일동,37.55205076,127.1435118,서울특별시 강동구 명일동 양재대로145길
지역근린공원,고인돌공원,서초구,양재동,37.47142017,127.0466535,서울특별시 서초구 양재동 
지역근린공원,청두어린이공원,서초구,방배동,37.48059731,126.9850001,서울특별시 서초구 방배동 
지역근린공원,푸르매공원,강서구,등촌동,37.5590506,126.8474389,서울특별시 강서구 등촌동 
지역근린공원,개포제5공원,강남구,대치동,37.48942936,127.0571729,서울특별시 강남구 대치동 선릉로
지역근린공원,등촌제3근린공원,강서구,등촌동,37.55855076,126.8497334,서울특별시 강서구 등촌동 공항대로43길
지역근린공원,꿈나라공원,노원구,중계동,37.65589411,127.0768181,서울특별시 노원구 중계동 
지역근린공원,곰돌이공원,강서구,화곡동,37.52957419,126.8450115,서울특별시 강서구 화곡동 
대형시민/도심공원,초안산체육공원,노원구,월계동,37.63900232,127.0511839,서울특별시 노원구 월계동 마들로5가길
지역근린공원,양지근린공원,양천구,신월동,37.52222921,126.8312618,서울특별시 양천구 신월동 지양로13길
대형시민/도심공원,양재시민의숲,서초구,양재동,37.47150601,127.03598,서울특별시 서초구 양재동 매헌로
지역근린공원,서서울호수공원,양천구,신월동,37.527812,126.8312181,서울특별시 양천구 신월동 남부순환로64길
지역근린공원,난곡공원,관악구,신림동,37.46604488,126.9170653,서울특별시 관악구 신림동 난곡로11길
지역근린공원,근린공원,은평구,구산동,37.61462266,126.9083286,서울특별시 은평구 구산동 
지역근린공원,인왕산자연공원,종로구,옥인동,37.58452971,126.9608587,서울특별시 종로구 옥인동 
지역근린공원,중곡동마을공원,광진구,중곡동,37.56994829,127.0847225,서울특별시 광진구 중곡동 용마산로33길
지역근린공원,신사개나리공원,강남구,신사동,37.5256372,127.029391,서울특별시 강남구 신사동 
지역근린공원,독립문어린이공원,서대문구,영천동,37.57154173,126.9604125,서울특별시 서대문구 영천동 
지역근린공원,청송공원,성동구,성수동2가,37.5459574,127.0586382,서울특별시 성동구 성수동2가 아차산로9길
지역근린공원,관악도시농업공원,관악구,신림동,37.46482863,126.9277134,서울특별시 관악구 신림동 광신길
지역근린공원,근린공원,성북구,석관동,37.60368787,127.0599923,서울특별시 성북구 석관동 화랑로32길
지역근린공원,대진공원,강남구,개포동,37.49558989,127.0784363,서울특별시 강남구 개포동 개포로109길
지역근린공원,꾸러기공원,금천구,시흥동,37.44318528,126.9058973,서울특별시 금천구 시흥동 
지역근린공원,투구봉공원,송파구,가락동,37.49400042,127.1352586,서울특별시 송파구 가락동 
지역근린공원,나리공원,서초구,반포동,37.50426953,126.9874115,서울특별시 서초구 반포동 신반포로
지역근린공원,엄지어린이공원,노원구,상계동,37.6527281,127.0629324,서울특별시 노원구 상계동 
지역근린공원,샘말어린이공원,도봉구,방학동,37.66851194,127.0314517,서울특별시 도봉구 방학동 
지역근린공원,광명공원,강서구,외발산동,37.54678273,126.8231732,서울특별시 강서구 외발산동 남부순환로19길
지역근린공원,동자공원,광진구,자양동,37.53205869,127.0743972,서울특별시 광진구 자양동 자양번영로3길
지역근린공원,소망어린이공원,도봉구,방학동,37.66349158,127.0369238,서울특별시 도봉구 방학동 
지역근린공원,방아다리공원,강동구,명일동,37.54790799,127.1537628,서울특별시 강동구 명일동 동남로65길
지역근린공원,관동공원,은평구,불광동,37.61366314,126.9297578,서울특별시 은평구 불광동 
지역근린공원,근린공원,관악구,신림동,37.46484493,126.9384011,서울특별시 관악구 신림동 대학20길
지역근린공원,신계역사공원,용산구,신계동,37.53554669,126.966288,서울특별시 용산구 신계동 청파로
지역근린공원,공릉동마을마당공원,노원구,공릉동,37.6252732,127.0848608,서울특별시 노원구 공릉동 
지역근린공원,아름어린이공원,동대문구,휘경동,37.58645681,127.066559,서울특별시 동대문구 휘경동 
지역근린공원,신림근린공원,관악구,신림동,37.48068627,126.917136,서울특별시 관악구 신림동 난곡로64길
지역근린공원,안말공원,강동구,성내동,37.5312572,127.1299157,서울특별시 강동구 성내동 풍성로45길
지역근린공원,등마루공원,강서구,화곡동,37.55285836,126.8562198,서울특별시 강서구 화곡동 까치산로28길
지역근린공원,남산예장공원,중구,주자동,37.56058212,126.9887556,서울특별시 중구 주자동 
지역근린공원,밤골근린공원,성북구,하월곡동,37.60487853,127.0328315,서울특별시 성북구 하월곡동 종암로34길
지역근린공원,다운공원,강서구,화곡동,37.53203089,126.8446364,서울특별시 강서구 화곡동 
